arfcn;name;uplink;downlink
0;EGSM-900;890;935
1;GSM-900;890.2;935.2
2;GSM-900;890.4;935.4
3;GSM-900;890.6;935.6
4;GSM-900;890.8;935.8
5;GSM-900;891;936
6;GSM-900;891.2;936.2
7;GSM-900;891.4;936.4
8;GSM-900;891.6;936.6
9;GSM-900;891.8;936.8
10;GSM-900;892;937
11;GSM-900;892.2;937.2
12;GSM-900;892.4;937.4
13;GSM-900;892.6;937.6
14;GSM-900;892.8;937.8
15;GSM-900;893;938
16;GSM-900;893.2;938.2
17;GSM-900;893.4;938.4
18;GSM-900;893.6;938.6
19;GSM-900;893.8;938.8
20;GSM-900;894;939
21;GSM-900;894.2;939.2
22;GSM-900;894.4;939.4
23;GSM-900;894.6;939.6
24;GSM-900;894.8;939.8
25;GSM-900;895;940
26;GSM-900;895.2;940.2
27;GSM-900;895.4;940.4
28;GSM-900;895.6;940.6
29;GSM-900;895.8;940.8
30;GSM-900;896;941
31;GSM-900;896.2;941.2
32;GSM-900;896.4;941.4
33;GSM-900;896.6;941.6
34;GSM-900;896.8;941.8
35;GSM-900;897;942
36;GSM-900;897.2;942.2
37;GSM-900;897.4;942.4
38;GSM-900;897.6;942.6
39;GSM-900;897.8;942.8
40;GSM-900;898;943
41;GSM-900;898.2;943.2
42;GSM-900;898.4;943.4
43;GSM-900;898.6;943.6
44;GSM-900;898.8;943.8
45;GSM-900;899;944
46;GSM-900;899.2;944.2
47;GSM-900;899.4;944.4
48;GSM-900;899.6;944.6
49;GSM-900;899.8;944.8
50;GSM-900;900;945
51;GSM-900;900.2;945.2
52;GSM-900;900.4;945.4
53;GSM-900;900.6;945.6
54;GSM-900;900.8;945.8
55;GSM-900;901;946
56;GSM-900;901.2;946.2
57;GSM-900;901.4;946.4
58;GSM-900;901.6;946.6
59;GSM-900;901.8;946.8
60;GSM-900;902;947
61;GSM-900;902.2;947.2
62;GSM-900;902.4;947.4
63;GSM-900;902.6;947.6
64;GSM-900;902.8;947.8
65;GSM-900;903;948
66;GSM-900;903.2;948.2
67;GSM-900;903.4;948.4
68;GSM-900;903.6;948.6
69;GSM-900;903.8;948.8
70;GSM-900;904;949
71;GSM-900;904.2;949.2
72;GSM-900;904.4;949.4
73;GSM-900;904.6;949.6
74;GSM-900;904.8;949.8
75;GSM-900;905;950
76;GSM-900;905.2;950.2
77;GSM-900;905.4;950.4
78;GSM-900;905.6;950.6
79;GSM-900;905.8;950.8
80;GSM-900;906;951
81;GSM-900;906.2;951.2
82;GSM-900;906.4;951.4
83;GSM-900;906.6;951.6
84;GSM-900;906.8;951.8
85;GSM-900;907;952
86;GSM-900;907.2;952.2
87;GSM-900;907.4;952.4
88;GSM-900;907.6;952.6
89;GSM-900;907.8;952.8
90;GSM-900;908;953
91;GSM-900;908.2;953.2
92;GSM-900;908.4;953.4
93;GSM-900;908.6;953.6
94;GSM-900;908.8;953.8
95;GSM-900;909;954
96;GSM-900;909.2;954.2
97;GSM-900;909.4;954.4
98;GSM-900;909.6;954.6
99;GSM-900;909.8;954.8
100;GSM-900;910;955
101;GSM-900;910.2;955.2
102;GSM-900;910.4;955.4
103;GSM-900;910.6;955.6
104;GSM-900;910.8;955.8
105;GSM-900;911;956
106;GSM-900;911.2;956.2
107;GSM-900;911.4;956.4
108;GSM-900;911.6;956.6
109;GSM-900;911.8;956.8
110;GSM-900;912;957
111;GSM-900;912.2;957.2
112;GSM-900;912.4;957.4
113;GSM-900;912.6;957.6
114;GSM-900;912.8;957.8
115;GSM-900;913;958
116;GSM-900;913.2;958.2
117;GSM-900;913.4;958.4
118;GSM-900;913.6;958.6
119;GSM-900;913.8;958.8
120;GSM-900;914;959
121;GSM-900;914.2;959.2
122;GSM-900;914.4;959.4
123;GSM-900;914.6;959.6
124;GSM-900;914.8;959.8
128;GSM-850;824.2;869.2
129;GSM-850;824.4;869.4
130;GSM-850;824.6;869.6
131;GSM-850;824.8;869.8
132;GSM-850;825;870
133;GSM-850;825.2;870.2
134;GSM-850;825.4;870.4
135;GSM-850;825.6;870.6
136;GSM-850;825.8;870.8
137;GSM-850;826;871
138;GSM-850;826.2;871.2
139;GSM-850;826.4;871.4
140;GSM-850;826.6;871.6
141;GSM-850;826.8;871.8
142;GSM-850;827;872
143;GSM-850;827.2;872.2
144;GSM-850;827.4;872.4
145;GSM-850;827.6;872.6
146;GSM-850;827.8;872.8
147;GSM-850;828;873
148;GSM-850;828.2;873.2
149;GSM-850;828.4;873.4
150;GSM-850;828.6;873.6
151;GSM-850;828.8;873.8
152;GSM-850;829;874
153;GSM-850;829.2;874.2
154;GSM-850;829.4;874.4
155;GSM-850;829.6;874.6
156;GSM-850;829.8;874.8
157;GSM-850;830;875
158;GSM-850;830.2;875.2
159;GSM-850;830.4;875.4
160;GSM-850;830.6;875.6
161;GSM-850;830.8;875.8
162;GSM-850;831;876
163;GSM-850;831.2;876.2
164;GSM-850;831.4;876.4
165;GSM-850;831.6;876.6
166;GSM-850;831.8;876.8
167;GSM-850;832;877
168;GSM-850;832.2;877.2
169;GSM-850;832.4;877.4
170;GSM-850;832.6;877.6
171;GSM-850;832.8;877.8
172;GSM-850;833;878
173;GSM-850;833.2;878.2
174;GSM-850;833.4;878.4
175;GSM-850;833.6;878.6
176;GSM-850;833.8;878.8
177;GSM-850;834;879
178;GSM-850;834.2;879.2
179;GSM-850;834.4;879.4
180;GSM-850;834.6;879.6
181;GSM-850;834.8;879.8
182;GSM-850;835;880
183;GSM-850;835.2;880.2
184;GSM-850;835.4;880.4
185;GSM-850;835.6;880.6
186;GSM-850;835.8;880.8
187;GSM-850;836;881
188;GSM-850;836.2;881.2
189;GSM-850;836.4;881.4
190;GSM-850;836.6;881.6
191;GSM-850;836.8;881.8
192;GSM-850;837;882
193;GSM-850;837.2;882.2
194;GSM-850;837.4;882.4
195;GSM-850;837.6;882.6
196;GSM-850;837.8;882.8
197;GSM-850;838;883
198;GSM-850;838.2;883.2
199;GSM-850;838.4;883.4
200;GSM-850;838.6;883.6
201;GSM-850;838.8;883.8
202;GSM-850;839;884
203;GSM-850;839.2;884.2
204;GSM-850;839.4;884.4
205;GSM-850;839.6;884.6
206;GSM-850;839.8;884.8
207;GSM-850;840;885
208;GSM-850;840.2;885.2
209;GSM-850;840.4;885.4
210;GSM-850;840.6;885.6
211;GSM-850;840.8;885.8
212;GSM-850;841;886
213;GSM-850;841.2;886.2
214;GSM-850;841.4;886.4
215;GSM-850;841.6;886.6
216;GSM-850;841.8;886.8
217;GSM-850;842;887
218;GSM-850;842.2;887.2
219;GSM-850;842.4;887.4
220;GSM-850;842.6;887.6
221;GSM-850;842.8;887.8
222;GSM-850;843;888
223;GSM-850;843.2;888.2
224;GSM-850;843.4;888.4
225;GSM-850;843.6;888.6
226;GSM-850;843.8;888.8
227;GSM-850;844;889
228;GSM-850;844.2;889.2
229;GSM-850;844.4;889.4
230;GSM-850;844.6;889.6
231;GSM-850;844.8;889.8
232;GSM-850;845;890
233;GSM-850;845.2;890.2
234;GSM-850;845.4;890.4
235;GSM-850;845.6;890.6
236;GSM-850;845.8;890.8
237;GSM-850;846;891
238;GSM-850;846.2;891.2
239;GSM-850;846.4;891.4
240;GSM-850;846.6;891.6
241;GSM-850;846.8;891.8
242;GSM-850;847;892
243;GSM-850;847.2;892.2
244;GSM-850;847.4;892.4
245;GSM-850;847.6;892.6
246;GSM-850;847.8;892.8
247;GSM-850;848;893
248;GSM-850;848.2;893.2
249;GSM-850;848.4;893.4
250;GSM-850;848.6;893.6
251;GSM-850;848.8;893.8
259;GSM-450;450.6;460.6
260;GSM-450;450.8;460.8
261;GSM-450;451;461
262;GSM-450;451.2;461.2
263;GSM-450;451.4;461.4
264;GSM-450;451.6;461.6
265;GSM-450;451.8;461.8
266;GSM-450;452;462
267;GSM-450;452.2;462.2
268;GSM-450;452.4;462.4
269;GSM-450;452.6;462.6
